date,city_name,daily_avg_temp,daily_max_temp,daily_min_temp,daily_avg_wind_speed,daily_max_wind_speed,daily_min_wind_speed,wind_direction,avg_relative_humidity,avg_dew_point,avg_pressure,precipitation_sum,rainy_hour_sum
2019-07-01,Adana,28.6,36.0,22.7,15.34,25.9,3.6,20.0,35.42,9.44,1007.47,0.0,0
2019-07-02,Adana,26.89,32.2,21.0,9.02,20.5,1.8,190.0,68.83,20.34,1007.2,0.0,0
2019-07-03,Adana,27.07,31.2,23.0,7.57,18.4,0.0,170.0,75.25,21.95,1007.57,0.0,0
2019-07-04,Adana,27.5,33.0,22.7,8.24,18.4,0.0,140.0,74.96,22.24,1008.12,0.0,0
2019-07-05,Adana,27.54,33.0,24.0,8.23,20.5,0.0,220.0,76.92,22.84,1004.89,0.0,0
2019-07-06,Adana,28.24,33.0,24.0,8.22,18.4,0.0,140.0,74.71,22.92,1002.85,0.0,0
2019-07-07,Adana,28.34,34.0,23.0,9.06,20.5,0.0,190.0,75.46,23.1,1003.12,0.0,0
2019-07-08,Adana,28.94,34.0,25.5,9.8,22.3,0.0,180.0,74.71,23.58,1005.15,0.0,0
2019-07-09,Adana,28.65,34.5,25.0,9.17,24.1,0.0,210.0,75.75,23.58,1006.32,0.0,0
2019-07-10,Adana,28.34,34.0,24.0,9.28,20.5,0.0,210.0,77.58,23.7,1003.56,0.0,0
2019-07-11,Adana,28.57,32.0,25.0,10.51,22.3,0.0,190.0,77.96,24.1,1002.09,0.0,0
2019-07-12,Adana,28.14,33.1,23.0,13.63,27.7,5.4,60.0,72.21,22.32,1003.02,0.0,0
2019-07-13,Adana,26.11,31.0,23.0,11.58,20.5,5.4,50.0,76.08,21.32,1005.75,0.0,0
2019-07-14,Adana,26.58,31.0,22.2,12.12,22.3,5.4,40.0,76.17,21.79,1005.0,0.0,0
2019-07-15,Adana,26.76,31.0,23.0,10.87,25.9,0.0,0.0,73.62,21.29,1004.23,0.0,0
2019-07-16,Adana,26.87,32.0,23.0,10.52,25.9,3.6,210.0,72.21,21.07,1005.58,0.0,0
2019-07-17,Adana,27.66,34.0,23.0,8.38,14.8,0.0,40.0,68.46,20.73,1001.95,0.0,0
2019-07-18,Adana,25.68,29.0,24.0,8.43,27.7,0.0,50.0,80.67,22.0,1005.08,0.0,0
2019-07-19,Adana,27.31,32.0,22.2,8.36,20.5,0.0,190.0,74.62,21.96,1008.84,0.0,0
2019-07-20,Adana,27.81,33.0,23.6,8.7,20.5,0.0,210.0,76.42,22.87,1008.22,0.0,0
2019-07-21,Adana,28.5,34.0,24.1,8.35,22.3,0.0,0.0,74.17,23.06,1006.09,0.0,0
2019-07-22,Adana,29.0,35.0,25.0,9.57,24.1,0.0,220.0,69.5,22.18,1004.51,0.0,0
2019-07-23,Adana,28.98,34.1,24.0,8.35,22.3,0.0,0.0,72.46,22.8,1002.88,0.0,0
2019-07-24,Adana,28.48,32.7,25.0,9.9,18.4,0.0,180.0,76.79,23.74,1004.1,0.0,0
2019-07-25,Adana,28.67,34.0,25.0,9.43,20.5,1.8,120.0,74.67,23.28,1006.92,0.0,0
2019-07-26,Adana,29.08,35.0,24.0,10.23,24.1,0.0,150.0,69.25,22.11,1004.91,0.0,0
2019-07-27,Adana,28.85,34.0,24.0,10.08,22.3,1.8,220.0,72.75,22.88,1000.96,0.0,0
2019-07-28,Adana,28.75,33.2,24.7,8.32,18.4,0.0,200.0,74.92,23.41,1001.27,0.0,0
2019-07-29,Adana,28.83,34.0,25.0,8.38,18.4,0.0,200.0,74.38,23.4,1004.25,0.0,0
